AR,1991,3,131.92
AR,1991,4,134.14
AR,1992,1,135.14
AR,1992,2,134.39
AR,1992,3,136.84
AR,1992,4,137.6
AR,1993,1,138.84
AR,1993,2,141.06
AR,1993,3,143.55
AR,1993,4,145.28
AR,1994,1,148.19
AR,1994,2,149.4
AR,1994,3,151.1
AR,1994,4,152.55
AR,1995,1,153.1
AR,1995,2,157.3
AR,1995,3,159.24
AR,1995,4,159.93
AR,1996,1,162.54
AR,1996,2,162.7
AR,1996,3,162.53
AR,1996,4,164.37
AR,1997,1,165.81
AR,1997,2,167.45
AR,1997,3,168.16
AR,1997,4,170.29
AR,1998,1,172.25
AR,1998,2,172.21
AR,1998,3,174.94
AR,1998,4,177.02
AR,1999,1,177.75
AR,1999,2,178
AR,1999,3,178.69
AR,1999,4,179.21
AR,2000,1,180.17
AR,2000,2,181.94
AR,2000,3,183.01
AR,2000,4,185.47
AR,2001,1,190.04
AR,2001,2,191.2
AR,2001,3,193.2
AR,2001,4,195.12
AR,2002,1,195.92
AR,2002,2,196.77
AR,2002,3,199.98
AR,2002,4,202.44
AR,2003,1,204
AR,2003,2,205.26
AR,2003,3,207.83
AR,2003,4,210.83
AR,2004,1,213.51
AR,2004,2,217.12
AR,2004,3,220.64
AR,2004,4,224.53
AR,2005,1,227.7
AR,2005,2,232.9
AR,2005,3,238.04
AR,2005,4,241.24
AR,2006,1,244.91
AR,2006,2,248.38
AR,2006,3,250.96
AR,2006,4,253.18
AR,2007,1,255.33
AR,2007,2,256.99
AR,2007,3,256.53
AR,2007,4,257.84
AR,2008,1,257.66
AR,2008,2,256.74
AR,2008,3,253.68
AR,2008,4,254.97
AR,2009,1,257.29
AR,2009,2,253.95
AR,2009,3,249.91
AR,2009,4,248.94
AR,2010,1,245.49
AR,2010,2,246.23
AR,2010,3,247.02
AR,2010,4,245.63
AR,2011,1,241.77
AR,2011,2,240.4
AR,2011,3,242.19
AR,2011,4,243.58
AR,2012,1,242.99
AR,2012,2,240.55
AR,2012,3,244.08
AR,2012,4,245.63
AR,2013,1,246.55
AR,2013,2,246.8
AR,2013,3,247.09
AR,2013,4,246.81
AR,2014,1,248.31
AR,2014,2,247.91
AR,2014,3,250.09
AR,2014,4,253.01
AR,2015,1,253.1
AR,2015,2,254.22
AR,2015,3,257.83
AR,2015,4,259.69
AR,2016,1,259.01
AR,2016,2,262.37
AR,2016,3,266.33
AR,2016,4,267.52
AR,2017,1,269.61
AR,2017,2,271.7
AR,2017,3,275.92
AR,2017,4,278.36
AR,2018,1,280.35
AR,2018,2,282.55
AR,2018,3,286.44
AR,2018,4,289.76
AR,2019,1,291.51
AR,2019,2,296.52
AR,2019,3,299.25
AR,2019,4,303.43
AZ,1975,1,58.9
AZ,1975,2,61.13
AZ,1975,3,59.2
AZ,1975,4,55.46
AZ,1976,1,58.09
AZ,1976,2,62.85
AZ,1976,3,61.29
AZ,1976,4,60.8
AZ,1977,1,63.17
AZ,1977,2,63.7
AZ,1977,3,65.93
AZ,1977,4,69.64
AZ,1978,1,70.83
AZ,1978,2,73.62
AZ,1978,3,78.75
AZ,1978,4,82.89
AZ,1979,1,87.55
AZ,1979,2,92.45
AZ,1979,3,94.67
AZ,1979,4,99.04
AZ,1980,1,100
AZ,1980,2,98.73
AZ,1980,3,106.76
AZ,1980,4,107.55
AZ,1981,1,108.45
AZ,1981,2,111.45
AZ,1981,3,117.29
AZ,1981,4,110.35
AZ,1982,1,106.31
AZ,1982,2,111.85
AZ,1982,3,108.37
AZ,1982,4,109.6
AZ,1983,1,119.44
AZ,1983,2,119.51
AZ,1983,3,115.5
AZ,1983,4,113.61
AZ,1984,1,117.5
AZ,1984,2,122.13
AZ,1984,3,122.87
AZ,1984,4,122.34
AZ,1985,1,125.25
AZ,1985,2,125.52
AZ,1985,3,127.34
AZ,1985,4,128.85
AZ,1986,1,131.3
AZ,1986,2,135.29
AZ,1986,3,135.34
AZ,1986,4,133.37
AZ,1987,1,137.74
AZ,1987,2,136.58
AZ,1987,3,135.77
AZ,1987,4,133.36
AZ,1988,1,134.72
AZ,1988,2,136.13
AZ,1988,3,134.01
AZ,1988,4,134.51
AZ,1989,1,132.89
AZ,1989,2,132.67
AZ,1989,3,134.75
AZ,1989,4,133.75
AZ,1990,1,133.64
AZ,1990,2,132.91
AZ,1990,3,133.86
AZ,1990,4,132.66
AZ,1991,1,134.8
AZ,1991,2,135.92
AZ,1991,3,135.2
AZ,1991,4,139.16
